Rodovia;Sentido;Tipo;Km Inicial;Km Final;Comprimento (m);Latitude Inicial;Longitude Inicial;Latitude Final;Longitude Final
BR-262;Oeste;Meio-Fio;0+006;0+017;11;-20.79109056;-51.62107572;-20.79108223;-51.62114881
BR-262;Oeste;Meio-Fio;1+568;2+022;454;-20.78934551;-51.6365944;-20.78860787;-51.64083682
BR-262;Oeste;Meio-Fio;2+033;2+044;11;-20.78859872;-51.64094497;-20.78858866;-51.6410523
BR-262;Oeste;Meio-Fio;2+049;2+592;543;-20.78858403;-51.64109795;-20.78874203;-51.64627427
BR-262;Oeste;Meio-Fio;2+602;3+110;508;-20.7887438;-51.64637371;-20.78834473;-51.65119499
BR-262;Oeste;Meio-Fio;3+121;3+985;864;-20.788311;-51.65128121;-20.78228488;-51.65597122
BR-262;Oeste;Meio-Fio;4+000;4+027;27;-20.78215419;-51.65592589;-20.78192625;-51.65591978
BR-262;Oeste;Meio-Fio;4+063;4+089;;-20.7816477;-51.65608704;-20.78152511;-51.6562992
BR-262;Oeste;Meio-Fio;4+194;4+287;x;-20.78190568;-51.65712913;-20.78197939;-51.6580116
BR-262;Oeste;Meio-Fio;4+297;4+354;57;-20.7819779;-51.65810874;-20.7819559;-51.65865262
BR-262;Oeste;Meio-Fio;4+401;4+489;88;-20.78193343;-51.65909317;-20.78191596;-51.65993525
BR-262;Oeste;Meio-Fio;4+505;5+056;551;-20.78191537;-51.66008425;-20.7818406;-51.66535235
BR-262;Oeste;Meio-Fio;5+071;5+087;16;-20.78184314;-51.66550576;-20.78184317;-51.66565458
BR-262;Oeste;Meio-Fio;5+097;5+118;21;-20.78184101;-51.6657579;-20.78183738;-51.66595844
BR-262;Oeste;Meio-Fio;5+150;5+491;341;-20.78183156;-51.66625099;-20.78172396;-51.66952662
BR-262;Oeste;Meio-Fio;5+542;5+558;16;-20.78170035;-51.67000934;-20.78170451;-51.67016227
BR-262;Oeste;Meio-Fio;5+696;5+754;58;-20.78202108;-51.67142953;-20.782233;-51.6719436
BR-262;Oeste;Meio-Fio;5+764;5+791;27;-20.78227273;-51.67202514;-20.78239141;-51.67225356
BR-262;Oeste;Meio-Fio;5+812;5+860;48;-20.78250868;-51.67244654;-20.78272809;-51.67274715
BR-262;Oeste;Meio-Fio;5+902;5+918;16;-20.78301536;-51.67308466;-20.78311879;-51.67319126
BR-262;Oeste;Meio-Fio;5+929;5+983;54;-20.78319301;-51.67326445;-20.78358139;-51.67358675
BR-262;Oeste;Meio-Fio;6+438;6+492;54;-20.78708806;-51.67582005;-20.78750581;-51.67608337
BR-262;Oeste;Meio-Fio;6+509;6+530;21;-20.78763335;-51.67616413;-20.78779827;-51.67626784
BR-262;Oeste;Meio-Fio;6+547;6+769;222;-20.78793687;-51.67635528;-20.78965644;-51.67744266
BR-262;Oeste;Meio-Fio;6+826;6+841;15;-20.79009218;-51.67771796;-20.79021622;-51.67779597
BR-262;Oeste;Meio-Fio;6+904;6+984;80;-20.79070007;-51.67810096;-20.79131098;-51.67848664
BR-262;Oeste;Meio-Fio;7+205;7+226;21;-20.7930304;-51.67957423;-20.79319447;-51.6796769
BR-262;Oeste;Meio-Fio;7+290;7+374;84;-20.79368443;-51.67998794;-20.79432783;-51.68040028
BR-262;Oeste;Meio-Fio;7+396;7+499;103;-20.79449634;-51.68050986;-20.79528733;-51.68102624
BR-262;Oeste;Meio-Fio;7+515;;48;-20.79541332;-51.6811085;-20.79578101;-50.68135132
BR-262;Oeste;Meio-Fio;7+872;7+977;105;-20.79816291;-51.68290152;-20.79896952;-51.68341731
BR-262;;DP - CONCRETO;9+493;9+493;;20483367S;;51412369W;
BR-262;Oeste;Meio-Fio;9+965;10+109;144;-20.81303704;-51.69458753;-20.81360646;-51.69582862
BR-262;;DP - CONCRETO;10+946;10+946;;20485838S;;5142556W;
BR-262;Oeste;Meio-Fio;11+682;12+081;399;-20.81979762;-51.70937796;-20.82044523;-51.7131932
BR-262;Oeste;Meio-Fio;12+096;12+122;26;-20.82043698;-51.71325727;-20.82041816;-51.71350735
BR-262;Oeste;Meio-Fio;12+133;12+191;58;-20.82040844;-51.71360701;-20.82033519;-51.71416121
BR-262;Oeste;Meio-Fio;12+202;12+285;83;-20.82031999;-51.71425599;-20.8201567;-51.71503466
BR-262;Oeste;Meio-Fio;12+333;12+544;211;-20.8200305;-51.71547752;-20.81945;-51.71749661
BR-262;Oeste;Meio-Fio;13+054;13+339;285;-20.81784119;-51.72195819;-20.81622783;-51.72407296
BR-262;Oeste;Meio-Fio;13+360;13+428;68;-20.81606765;-51.72416634;-20.81581901;-51.72471695
BR-262;Oeste;Meio-Fio;13+912;13+928;16;-20.81342103;-51.72857634;-20.81335329;-51.72868777
BR-262;Oeste;Meio-Fio;14+021;14+089;68;-20.81305306;-51.72952881;-20.81274692;-51.73007623
BR-262;Oeste;Meio-Fio;14+130;14+181;51;-20.81255471;-51.73041783;-20.81231993;-51.73083799
BR-262;Oeste;Meio-Fio;14+497;14+607;110;-20.81143991;-51.73302445;-20.81231861;-51.73349932
BR-262;Oeste;Meio-Fio;14+696;14+754;58;-20.81283123;-51.73415257;-20.81295242;-51.73468833
BR-262;Oeste;Meio-Fio;17+351;17+450;99;-20.81492964;-51.75941518;-20.81506809;-51.76035319
BR-262;;DP - CONCRETO;21+970;21+970;;2049809S;;51481294W;
BR-262;;DP - CONCRETO;23+558;23+558;;20485437S;;5149593W;
BR-262;Oeste;Meio-Fio;26+051;26+346;295;-20.80929038;-51.84041056;-20.80858011;-51.84313789
BR-262;;DP - CONCRETO;26+510;26+510;;20482872S;;51504428W;
BR-262;;DP - CONCRETO;27+366;27+366;;20482126S;;51511278W;
BR-262;;DP - CONCRETO;28+138;28+138;;20481443S;;51513854W;
BR-262;;DP - CONCRETO;28+618;28+618;;20481022S;;51515447W;
BR-262;Oeste;Meio-Fio;29+038;29+261;223;-20.80207595;-51.86796707;-20.80153061;-51.87002449
BR-262;Oeste;Meio-Fio;29+366;29+530;164;-20.80128081;-51.87098105;-20.8008815;-51.87250634
BR-262;Oeste;Meio-Fio;29+541;29+552;11;-20.80085735;-51.87259986;-20.80082842;-51.87271199
BR-262;Oeste;Meio-Fio;29+563;29+606;43;-20.80080415;-51.8728053;-20.80070111;-51.87319632
BR-262;Oeste;Meio-Fio;29+617;29+633;16;-20.8006717;-51.87330785;-20.80063263;-51.8734563
BR-262;Oeste;Meio-Fio;29+638;29+804;166;-20.8006228;-51.87349337;-20.80021855;-51.87503063
BR-262;;DP - CONCRETO;31+400;31+400;;2079646;;5188966;
BR-262;;DP - CONCRETO;32+205;32+205;;20473907S;;51535407W;
BR-262;Oeste;Meio-Fio;32+815;32+917;102;-20.79303691;-51.90253798;-20.7927879;-51.9034864
BR-262;;DP - CONCRETO;33+900;33+900;;20472599S;;51544356W;
BR-262;Oeste;Meio-Fio;34+856;35+014;158;-20.788097;-51.92139774;-20.78771371;-51.92286213
BR-262;Oeste;Meio-Fio;38+512;38+879;367;-20.77927225;-51.9552002;-20.77838393;-51.95858813
BR-262;;DP - CONCRETO;39+600;39+600;;20463485S;;5158052W;
BR-262;;DP - CONCRETO;40+533;40+533;;20462642S;;51583135W;
BR-262;;DP - CONCRETO;42+000;42+000;;20461395S;;51591937W;
BR-262;Oeste;Meio-Fio;42+059;42+266;207;-20.77068527;-51.98801527;-20.77018629;-51.98991297
BR-262;;DP - CONCRETO;44+307;44+307;;20455349S;;52 03729W;
BR-262;Oeste;Meio-Fio;44+325;44+503;178;-20.76517737;-52.00894802;-20.76474003;-52.01060868
BR-262;;DP - CONCRETO;45+288;45+288;;20454484S;;52 1991W;
BR-262;;DP - CONCRETO;46+537;46+537;;20453392S;;52 15144W;
BR-262;;DP - CONCRETO;48+831;48+831;;20451202S;;52 31417W;
BR-262;Oeste;Meio-Fio;49+109;49+347;238;-20.75349952;-52.05316783;-20.752769;-51.05533336
BR-262;Oeste;Meio-Fio;49+370;49+391;21;-20.75271117;-52.05554315;-20.75265618;-51.05573439
BR-262;Oeste;Meio-Fio;49+391;49+697;306;-20.75265618;-51.05573439;-20.75206558;-52.05859211
BR-262;;DP - CONCRETO;49+400;49+400;;2045932S;;52 32435W;
BR-262;;DP - CONCRETO;49+837;49+837;;2045586S;;52 33702W;
BR-262;;DP - CONCRETO;54+474;54+474;;20442346S;;52 61096W;
BR-262;Oeste;Meio-Fio;57+848;58+572;724;-20.7255317;-52.13110083;-20.72025128;-52.13459509
BR-262;Oeste;Meio-Fio;58+689;60+845;2156;-20.71963983;-52.13550641;-20.71190042;-51.15451769
BR-262;Oeste;Meio-Fio;62+165;62+614;449;-20.70716338;-52.16613398;-20.70554081;-51.1700944
BR-262;Oeste;Meio-Fio;62+630;62+971;341;-20.70548597;-52.17022904;-20.7042488;-52.17320969
BR-262;;DP - CONCRETO;64+245;64+245;;20415765S;;5211513W;
BR-262;;DP - CONCRETO;66+236;66+236;;20413129S;;5212800W;
BR-262;Oeste;Meio-Fio;66+406;67+361;955;-20.69154677;-52.20331814;-20.6880296;-51.2116761
BR-262;Oeste;Meio-Fio;68+830;69+096;266;-20.68260964;-52.2245512;-20.68163324;-52.22687024
BR-262;Oeste;Meio-Fio;69+118;69+145;27;-20.68155223;-52.22706585;-20.68144837;-52.22731469
BR-262;Oeste;Meio-Fio;69+145;69+210;65;-20.68144837;-52.22731469;-20.68121107;-52.22788574
BR-262;;DP - CONCRETO;70+167;70+167;;20403896S;;52141193W;
BR-262;;DP - CONCRETO;72+048;72+048;;20401394S;;52151124W;
BR-262;Oeste;Meio-Fio;72+197;73+577;1380;-20.67016107;-52.25402125;-20.66506195;-52.26608308
BR-262;;DP - CONCRETO;72+952;72+952;;2040187S;;52153968W;
BR-262;Oeste;Meio-Fio;73+603;74+608;1005;-20.66496623;-52.2663125;-20.66124688;-52.27511433
BR-262;Oeste;Meio-Fio;74+629;74+656;27;-20.66117011;-52.27529693;-20.66106739;-51.27553827
BR-262;Oeste;Meio-Fio;78+322;78+987;665;-20.64732892;-52.30756361;-20.64486458;-51.313328
BR-262;Oeste;Meio-Fio;79+748;79+775;27;-20.64199586;-52.31999085;-20.64189092;-52.32023495
BR-262;Oeste;Meio-Fio;79+803;79+825;;-20.64178958;-52.32047116;-20.64170516;-52.32066971
BR-262;Oeste;Meio-Fio;80+091;80+404;313;-20.64072326;-52.32298167;-20.63956315;-52.32571948
BR-262;Oeste;Meio-Fio;80+431;81+183;752;-20.63945851;-52.32596255;-20.63665457;-52.3325326
BR-262;Oeste;Meio-Fio;81+199;81+903;704;-20.63659573;-52.33267207;-20.63401445;-52.33887129
BR-262;;DP - CONCRETO;82+000;82+000;;2038045S;;52202471W;
BR-262;Oeste;Meio-Fio;84+081;84+968;887;-20.62602427;-52.35791659;-20.62272323;-52.36567531
BR-262;;DP - CONCRETO;88+929;88+929;;20362805S;;5224276W;
BR-262;Oeste;Meio-Fio;92+082;92+231;149;-20.59558223;-52.42736207;-20.5944864;-52.42819653
BR-262;Oeste;Meio-Fio;92+273;94+296;2023;-20.59418147;-52.42843069;-20.58877233;-52.44547057
BR-262;Oeste;Meio-Fio;94+336;95+596;1260;-20.58862974;-52.4458091;-20.58393807;-52.45683903
BR-262;Oeste;Meio-Fio;95+636;95+793;157;-20.58378585;-52.45719462;-20.58320783;-52.45854988
BR-262;Oeste;Meio-Fio;96+631;96+830;199;-20.580097;-52.46589376;-20.57935285;-52.46763823
BR-262;;DP - CONCRETO;96+683;96+683;;20344686S;;5228044W;
BR-262;Oeste;Meio-Fio;100+135;100+451;316;-20.56491205;-52.49405378;-20.56465555;-52.49707338
BR-262;Oeste;Meio-Fio;100+715;100+803;88;-20.56444571;-52.49957197;-20.56436854;-52.50042019
BR-262;Oeste;Meio-Fio;101+007;101+371;364;-20.56420472;-52.50237701;-20.56391004;-52.50585622
BR-262;Oeste;Meio-Fio;101+388;102+002;614;-20.56389808;-52.50600025;-20.56237819;-52.51161919
BR-262;;DP - CONCRETO;103+844;103+844;;20331805S;;52314106W;
BR-262;;DP - CONCRETO;104+480;104+480;;20331078S;;5232122W;
BR-262;Oeste;Meio-Fio;105+349;105+561;212;-20.54950065;-52.54064342;-20.54868862;-52.54249628
BR-262;Oeste;Meio-Fio;106+664;106+731;67;-20.54447912;-52.55205844;-20.54422368;-52.55266677
BR-262;;DP - CONCRETO;122+762;122+762;;2030556S;;52415618W;
BR-262;;DP - CONCRETO;127+547;127+547;;20293527S;;52443857W;
BR-262;;DP - CONCRETO;133+537;133+537;;20285746S;;5248123W;
BR-262;;DP - CONCRETO;133+783;133+783;;20285588S;;5248973W;
BR-262;;DP - CONCRETO;140+500;140+500;;20264557S;;5251437W;
BR-262;;DP - CONCRETO;142+700;142+700;;20264515S;;52521064W;
BR-262;Oeste;Meio-Fio;143+405;143+466;61;-20.44541247;-52.87454159;-20.44526464;-52.87511189
BR-262;Oeste;Meio-Fio;143+523;143+597;74;-20.44512732;-52.87563006;-20.44494447;-52.87632324
BR-262;Oeste;Meio-Fio;143+618;143+639;21;-20.44489241;-52.87652263;-20.44484574;-52.87671138
BR-262;Oeste;Meio-Fio;143+655;143+692;37;-20.44481082;-52.8768571;-20.44472597;-52.87719662
BR-262;Oeste;Meio-Fio;143+717;143+764;47;-20.4446636;-52.87743875;-20.44455525;-52.87787344
BR-262;Oeste;Meio-Fio;143+805;143+899;94;-20.44445868;-52.87825832;-20.44424363;-52.87912416
BR-262;Oeste;Meio-Fio;144+139;144+175;36;-20.44369764;-52.88136337;-20.44363399;-52.88169844
BR-262;Oeste;Meio-Fio;144+241;144+272;31;-20.44352837;-52.88232966;-20.44349219;-52.88261894
BR-262;Oeste;Meio-Fio;144+282;144+313;;-20.44348186;-52.88271532;-20.44345577;-52.88300318
BR-262;Oeste;Meio-Fio;144+333;144+411;78;-20.44344116;-52.88320119;-20.44339786;-52.88395427
BR-262;;DP - CONCRETO;146+453;146+453;;2028534S;;52572028W;
BR-262;;DP - CONCRETO;146+542;146+542;;20265221S;;52541910W;
BR-262;;DP - CONCRETO;149+500;149+500;;2046087;;5292838;
BR-262;;DP - CONCRETO;154+771;154+771;;20274801S;;52583810W;
BR-262;;DP - CONCRETO;156+300;156+300;;20273650S;;52592936W;
BR-262;;DP - CONCRETO;157+462;157+462;;20272782S;;53 0854W;
BR-262;;DP - CONCRETO;158+539;158+539;;20271967S;;53 04480W;
BR-262;;DP - CONCRETO;159+666;159+666;;20271126S;;53 12257W;
BR-262;;DP - CONCRETO;160+530;160+530;;2027485S;;53 15116W;
BR-262;;DP - CONCRETO;162+483;162+483;;20265010S;;53 25706W;
BR-262;;DP - CONCRETO;164+441;164+441;;20263540S;;53 4272W;
BR-262;;DP - CONCRETO;166+173;166+173;;20261266S;;53 45564W;
BR-262;;DP - CONCRETO;168+658;168+658;;20253265S;;53 6756W;
BR-262;;DP - CONCRETO;170+711;170+711;;20251780S;;53 71655W;
BR-262;;DP - CONCRETO;177+492;177+492;;20244292S;;5311734W;
BR-262;Oeste;Meio-Fio;178+045;178+374;329;-20.41134728;-53.18940773;-20.41093526;-53.19255739
BR-262;;DP - CONCRETO;179+680;179+680;;20243300S;;53122269W;
BR-262;Oeste;Meio-Fio;191+175;191+186;11;-20.44622175;-53.30292284;-20.44624211;-53.30302487
BR-262;Oeste;Meio-Fio;191+201;192+084;883;-20.44627461;-53.30318776;-20.44789501;-53.31145694
BR-262;Oeste;Meio-Fio;192+148;193+184;1036;-20.44801028;-53.31203839;-20.44991049;-53.32174787
BR-262;;DP - CONCRETO;192+229;192+229;;20265351S;;53184592W;
BR-262;Oeste;Meio-Fio;193+350;195+383;2033;-20.45021718;-53.32331078;-20.45395091;-53.34238254
BR-262;;DP - CONCRETO;194+573;194+573;;2027897S;;5320507W;
BR-262;Oeste;Meio-Fio;195+953;197+080;1127;-20.45499483;-53.34770881;-20.45705446;-53.35825911
BR-262;Oeste;Meio-Fio;197+118;197+339;221;-20.4571264;-53.3586207;-20.45753231;-53.3606886
BR-262;Oeste;Meio-Fio;197+587;198+131;544;-20.45798982;-53.36301831;-20.45897968;-53.36813219
BR-262;Oeste;Meio-Fio;198+391;198+554;163;-20.45944762;-53.37055008;-20.45974663;-53.37207506
BR-262;Oeste;Meio-Fio;198+778;198+950;172;-20.46015737;-53.37418824;-20.46046804;-53.37578755
BR-262;Oeste;Meio-Fio;199+270;220+472;2102;-20.46105514;-53.37880699;-20.46324169;-53.39006693
BR-262;Oeste;Meio-Fio;200+757;201+467;710;-20.46376285;-53.39274387;-20.46505277;-53.39940211
BR-262;Oeste;Meio-Fio;201+477;201+509;32;-20.46507337;-53.39950894;-20.4651311;-53.39980355
BR-262;Oeste;Meio-Fio;201+524;202+573;1049;-20.46516087;-53.39995068;-20.4670689;-53.40979228
BR-262;Oeste;Meio-Fio;203+439;203+898;459;-20.46748907;-53.41802358;-20.4673283;-53.42242808
BR-262;Oeste;Meio-Fio;204+989;205+921;932;-20.46695117;-53.43287389;-20.46663183;-53.44179024
BR-262;;DP - CONCRETO;205+652;205+652;;2028010S;;53262146W;
BR-262;Oeste;Meio-Fio;206+129;206+696;567;-20.46656015;-53.44377406;-20.46636655;-53.44920386
BR-262;Oeste;Meio-Fio;206+737;207+292;555;-20.46635315;-53.44958031;-20.46616368;-53.45491012
BR-262;;DP - CONCRETO;207+070;207+070;;20275987S;;53271030W;
BR-262;;DP - CONCRETO;208+000;208+000;;20275743S;;53274251W;
BR-262;Oeste;Meio-Fio;208+612;209+092;480;-20.46570884;-53.46753463;-20.46554378;-53.4721131
BR-262;Oeste;Meio-Fio;209+388;209+699;311;-20.46544694;-53.47495191;-20.46534098;-53.47793838
BR-262;;DP - CONCRETO;209+582;209+582;;20275558S;;53283705W;
BR-262;Oeste;Meio-Fio;209+844;210+737;893;-20.46528813;-53.47930583;-20.46497884;-53.48784081
BR-262;Oeste;Meio-Fio;211+630;212+042;412;-20.46467236;-53.49638591;-20.46453293;-53.5003251
BR-262;Oeste;Meio-Fio;213+551;214+368;817;-20.46455139;-53.51473308;-20.46510446;-53.52252238
BR-262;Oeste;Meio-Fio;214+561;214+709;148;-20.4652371;-53.52437842;-20.46533786;-53.52578645
BR-262;Oeste;Meio-Fio;217+416;217+537;121;-20.46717537;-53.55163908;-20.46725145;-53.55277035
BR-262;Oeste;Meio-Fio;217+880;218+107;227;-20.46748727;-53.55606148;-20.46763854;-53.55822751
BR-262;Oeste;Meio-Fio;218+453;219+277;824;-20.46787784;-53.56154487;-20.46842864;-53.56940962
BR-262;Oeste;Meio-Fio;219+991;220+257;;-20.46891268;-53.57622109;-20.46909351;-53.5787571
BR-262;Oeste;Meio-Fio;220+296;222+352;2056;-20.46911885;-53.57912314;-20.47051172;-53.5987594
BR-262;Oeste;Meio-Fio;222+881;223+300;419;-20.47086852;-53.60384738;-20.47115174;-53.6078418
BR-262;Oeste;Meio-Fio;223+615;223+921;306;-20.47136499;-53.61083462;-20.47157097;-53.61375361
BR-262;Oeste;Meio-Fio;224+509;226+573;2064;-20.47198867;-53.61944844;-20.47337903;-53.63917097
BR-262;Oeste;Meio-Fio;227+753;227+890;137;-20.47417769;-53.65046277;-20.47427133;-53.65174744
BR-262;Oeste;Meio-Fio;228+014;228+172;158;-20.47434606;-53.65294309;-20.47427921;-53.65445046
BR-262;Oeste;Meio-Fio;228+239;228+315;76;-20.47417803;-53.65509182;-20.47402221;-53.65578467
BR-262;Oeste;Meio-Fio;228+523;229+490;967;-20.4735427;-53.65771933;-20.47131792;-53.66668599
BR-262;Oeste;Meio-Fio;230+132;230+341;209;-20.46984427;-53.67263546;-20.46936402;-53.67458159
BR-262;Oeste;Meio-Fio;230+367;230+409;42;-20.46930299;-53.67482862;-20.46920974;-53.67520961
BR-262;Oeste;Meio-Fio;230+414;230+498;84;-20.46919952;-53.67525199;-20.46900636;-53.67603555
BR-262;Oeste;Meio-Fio;230+536;231+336;800;-20.46892115;-53.67638056;-20.46710404;-53.68372816
BR-262;;DP - CONCRETO;230+890;230+890;;2028484S;;53404704W;
BR-262;;DP - CONCRETO;230+890;230+890;;2028558S;;53404737W;
BR-262;;DP - CONCRETO;230+946;230+946;;2028711S;;53404981W;
BR-262;Oeste;Meio-Fio;231+494;232+208;714;-20.46674396;-53.68518324;-20.46510925;-53.69178772
BR-262;Oeste;Meio-Fio;232+370;232+677;307;-20.46473605;-53.69329521;-20.46403408;-53.69613443
BR-262;Oeste;Meio-Fio;232+699;232+978;279;-20.46398792;-53.69632066;-20.46334637;-53.69892766
BR-262;Oeste;Meio-Fio;233+269;233+350;81;-20.46268872;-53.70161017;-20.46250291;-53.70236219
BR-262;Oeste;Meio-Fio;233+377;233+571;194;-20.46243808;-53.70232628;-20.46199717;-53.70440804
BR-262;Oeste;Meio-Fio;233+752;233+824;72;-20.46157995;-53.70609842;-20.46141766;-53.70675715
BR-262;Oeste;Meio-Fio;234+921;235+230;309;-20.45892034;-53.71692695;-20.4582199;-53.71979447
BR-262;Oeste;Meio-Fio;235+398;235+537;139;-20.45783766;-53.72133724;-20.45752127;-53.72263034
BR-262;Oeste;Meio-Fio;235+548;235+953;405;-20.45749752;-53.72272772;-20.45657308;-53.72648431
BR-262;Oeste;Meio-Fio;235+997;236+434;437;-20.45647133;-53.72689283;-20.45547684;-53.73092254
BR-262;Oeste;Meio-Fio;236+937;237+322;385;-20.45508104;-53.73570895;-20.45540231;-53.73945228
BR-262;Oeste;Meio-Fio;237+341;237+666;325;-20.45540971;-53.73954197;-20.45567661;-53.7426407
BR-262;Oeste;Meio-Fio;237+693;237+941;248;-20.45569723;-53.74291035;-20.45590327;-53.74528516
BR-262;Oeste;Meio-Fio;238+049;238+371;322;-20.45598277;-53.74629971;-20.45624809;-53.74938564
BR-262;Oeste;Meio-Fio;238+397;238+549;152;-20.45626729;-53.74962722;-20.45638994;-53.75108363
BR-262;Oeste;Meio-Fio;238+565;238+643;78;-20.46640132;-53.75121406;-20.45646603;-53.7519758
BR-262;Oeste;Meio-Fio;238+665;238+837;172;-20.45648329;-53.75219037;-20.45662651;-53.75383519
BR-262;Oeste;Meio-Fio;238+848;239+073;225;-20.45663478;-53.75393832;-20.45682124;-53.75607442
BR-262;Oeste;Meio-Fio;239+541;239+587;46;-20.45720861;-53.76053377;-20.45724373;-53.76096086
BR-262;Oeste;Meio-Fio;239+827;240+092;265;-20.45743906;-53.76324823;-20.45765518;-53.76577667
BR-262;Oeste;Meio-Fio;241+862;242+588;726;-20.45649658;-53.78268001;-20.45593812;-53.78958034
BR-262;Oeste;Meio-Fio;242+633;243+773;1140;-20.45590326;-53.79001917;-20.45503289;-53.80092226
BR-262;Oeste;Meio-Fio;244+033;244+482;449;-20.45483268;-53.80339327;-20.45347153;-53.8073727
BR-262;;DP - CONCRETO;244+464;244+464;;20271008S;;53483002W;
BR-262;Oeste;Meio-Fio;244+488;245+066;578;-20.4534469;-53.80740624;-20.45024879;-53.8117776
BR-262;Oeste;Meio-Fio;249+268;249+485;217;-20.42702317;-53.84361515;-20.42584228;-53.84527004
BR-262;Oeste;Meio-Fio;249+496;249+585;89;-20.4257808;-53.84535644;-20.42529657;-53.84603478
BR-262;Oeste;Meio-Fio;249+606;251+098;1492;-20.42518307;-53.84619479;-20.4170455;-53.85759746
BR-262;;DP - CONCRETO;252+604;252+604;;20243296S;;53521603W;
BR-262;Oeste;Meio-Fio;256+310;256+887;577;-20.40066339;-53.90326605;-20.40042783;-53.90878904
BR-262;Oeste;Meio-Fio;258+574;259+109;535;-20.40450519;-53.92427307;-20.40633665;-53.92899973
BR-262;;DP - CONCRETO;259+332;259+332;;20242788S;;53555693W;
